"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2013",49648.7720561079,
"AUS","AVWAGE","TOT","USD","A","2014",49988.5582048906,
"AUS","AVWAGE","TOT","USD","A","2015",49562.7961917006,
"AUS","AVWAGE","TOT","USD","A","2016",49603.2666562394,
"AUS","AVWAGE","TOT","USD","A","2017",49125.8672341823,
"AUT","AVWAGE","TOT","USD","A","2013",49119.5245501376,
"AUT","AVWAGE","TOT","USD","A","2014",49298.5666866514,
"AUT","AVWAGE","TOT","USD","A","2015",49694.5120670289,
"AUT","AVWAGE","TOT","USD","A","2016",50330.4552242943,
"AUT","AVWAGE","TOT","USD","A","2017",50348.9401981944,
"BEL","AVWAGE","TOT","USD","A","2013",50362.6586290707,
"BEL","AVWAGE","TOT","USD","A","2014",50583.0421345091,
"BEL","AVWAGE","TOT","USD","A","2015",50259.1820690747,
"BEL","AVWAGE","TOT","USD","A","2016",50041.0771459814,
"BEL","AVWAGE","TOT","USD","A","2017",49674.9950476864,
"CAN","AVWAGE","TOT","USD","A","2013",46937.3167948156,
"CAN","AVWAGE","TOT","USD","A","2014",47453.004608298,
"CAN","AVWAGE","TOT","USD","A","2015",47673.3254254925,
"CAN","AVWAGE","TOT","USD","A","2016",47370.1955214848,
"CAN","AVWAGE","TOT","USD","A","2017",47621.8436526166,
"CZE","AVWAGE","TOT","USD","A","2013",22290.4946988665,
"CZE","AVWAGE","TOT","USD","A","2014",22757.3383887199,
"CZE","AVWAGE","TOT","USD","A","2015",23380.7429536061,
"CZE","AVWAGE","TOT","USD","A","2016",24330.753582818,
"CZE","AVWAGE","TOT","USD","A","2017",25372.0429634876,
"DNK","AVWAGE","TOT","USD","A","2013",49423.8023635253,
"DNK","AVWAGE","TOT","USD","A","2014",50368.6564234037,
"DNK","AVWAGE","TOT","USD","A","2015",51125.5502110602,
"DNK","AVWAGE","TOT","USD","A","2016",51826.0530970321,
"DNK","AVWAGE","TOT","USD","A","2017",51466.3004625045,
"FIN","AVWAGE","TOT","USD","A","2013",42440.9475030898,
"FIN","AVWAGE","TOT","USD","A","2014",42425.0748590545,
"FIN","AVWAGE","TOT","USD","A","2015",42885.1913489131,
"FIN","AVWAGE","TOT","USD","A","2016",43138.9339313619,
"FIN","AVWAGE","TOT","USD","A","2017",42963.6679912954,
"FRA","AVWAGE","TOT","USD","A","2013",41986.2679059577,
"FRA","AVWAGE","TOT","USD","A","2014",42402.9926200803,
"FRA","AVWAGE","TOT","USD","A","2015",42731.3134045579,
"FRA","AVWAGE","TOT","USD","A","2016",43220.6120851797,
